Empty backpack
Rope
Copper pieces
Club
Map to dungeon
Silver pieces
Last will and testament
Rations
Platinum pieces
Gold tooth
Gold pieces
Moldy rations
Long sword
Studded leather
Electrum pieces
Long bow
Dagger
Ancient text describing a mythical city
Leather armor
Ruby
Map of dungeon
Arrow
Copper pieces
Prayer book
Poison vial
Journal
Platinum pieces
Key engraved with a strange symbol
Leather belt
Silver pieces
Bestiary
Copper
Letters
Ring
Short bow
Electrum pieces
Spell book
Short sword
Gold pieces
Beef jerky
Copper pieces
Chewing tobacco
Rations
Bearskin cloak
Electrum pieces
Spear
Platinum pieces
Crossbow bolts
Amulet
Copper pieces
Gold pieces
Dragon's teeth
Water skin
Shackles
Whisky
Odd scroll
Spare bowstring
Silver ring
Arrows
Electrum pieces
Staff
Crossbow
Rations
Locket with drawing of a person
Platinum pieces
Iron ring
Boots
Silver pieces
Contract
Great sword
Dice set
Emerald
Electrum pieces
Bounty notice
Chain shirt
Gold pieces
Handkerchief
Broken bow
Iron armor
Platinum pieces
Copper pieces
Heavy cloak
Gold ring
Silver pieces
Hymnbook
Battleaxe
Arrows
Electrum pieces
Small wooden puzzle box
Keys
Platinum pieces
Melted sword
Copper pieces
Locket with a lock of hair
Crossbow bolts
Silver pieces
Letter from someone begging for help
Electrum pieces
Deed to a castle in a faraway land
Gold pieces
