Family Crest
Stone Gargoyle
Stone carving of deceased
Stone caskets
Bridge over giant chasm
Ceremonial urns
Silver chalice
Decorative suits of armor
Stone epitaph of achievements
Small child's casket
Ornate jewelry chest
Antique Crown
Rosaries
Silver pieces
Rival family's Shield
Smell of rotting flesh
Braziers
Long sword
Secret passage
Broken sword hilt
Reanimated body
Antique sword
Tattered cloak
Ancient blood stains
Labyrinth
Ancient mace
Family prayer book
Book of deeds
Gravehound
Gold pieces
Gold chalice
Silver candelabra
Stone angels
Dragon skull
Copper pieces
Empty urn
Short sword
Silver statue of dragon
Mural of deceased
Prepared casket
Stone throne
Embalming tools
Linen wraps
Rusted crown
Silver pieces
Ornate epitaph
Burial urns
Rival Family's crest
Stone hound statue
Ancient shield
Burial herbs
Armor stands
Stained glass window
Open casket
Copper pieces
Royal scepter
Mummified Hand
Widow of deceased
Skull of loyal dog
Burial oils
Giant's skull
Ancient crossbow
Ancestral locket
Royal bones
Golden statue of warhound
Genealogy records
Symbol of gods
Ancient sword
Broken shield
Golden skull
Royal crown
Deceased's spell book
Magic staff
Ancient chest
Map of labyrinth
Stone dragon
Blood stains
Ornate casket
Opening into cavern
Royal garden
Defiled corpse
Broken circlet
Burial tools
Silver skull
Ghost
Rival family's sword
Broken urn
Copper pieces
Mummified soldiers
Ancestral war axe
Engraving of past battles
Silver pieces
Royal cloak
Golden statue of dragon
Stone griffin statue
Silver statue of warhound
Bones scattered across floor
Precious stones
Book of burial customs
Ancestral ring
